Sensor 0,Sensor 1,Motor 0 speed,Motor 1 speed,SensorDiff (error),SpeedDiff (set)
49,151,15,45,-102,-30
47,158,14,46,-111,-32
48,164,13,47,-116,-34
36,170,10,50,-134,-40
30,183,8,50,-153,-42
36,169,11,49,-133,-38
40,171,11,49,-131,-38
42,174,11,49,-132,-38
43,173,11,49,-130,-38
42,174,11,49,-132,-38
39,174,10,50,-135,-40
33,173,9,50,-140,-41
28,171,9,50,-143,-41
47,174,11,49,-127,-38
53,173,12,48,-120,-36
54,177,12,48,-123,-36
55,175,12,48,-120,-36
60,176,13,47,-116,-34
54,173,13,47,-119,-34
61,173,14,46,-112,-32
62,172,14,46,-110,-32
51,170,13,47,-119,-34
41,157,13,47,-116,-34
42,149,14,46,-107,-32
49,114,21,39,-65,-18
49,115,21,39,-66,-18
45,99,22,38,-54,-16
44,101,22,38,-57,-16
43,90,23,37,-47,-14
49,75,27,33,-26,-6
53,78,27,33,-25,-6
53,76,27,33,-23,-6
50,78,26,34,-28,-8
42,81,25,35,-39,-10
45,85,24,36,-40,-12
45,99,22,38,-54,-16
47,100,23,37,-53,-14
45,119,19,41,-74,-22
43,118,19,41,-75,-22
38,126,17,43,-88,-26
39,152,14,46,-113,-32
43,152,14,46,-109,-32
47,156,14,46,-109,-32
48,160,14,46,-112,-32
45,165,12,48,-120,-36
45,167,12,48,-122,-36
41,167,12,48,-126,-36
38,165,11,49,-127,-38
36,163,11,49,-127,-38
39,166,11,49,-127,-38
37,166,11,49,-129,-38
32,170,10,50,-138,-40
40,142,15,45,-102,-30
46,163,13,47,-117,-34
47,163,13,47,-116,-34
53,162,14,46,-109,-32
59,162,15,45,-103,-30
40,164,12,48,-124,-36
63,161,16,44,-98,-28
57,160,15,45,-103,-30
54,164,14,46,-110,-32
53,167,13,47,-114,-34
54,166,14,46,-112,-32
50,167,13,47,-117,-34
53,165,14,46,-112,-32
48,160,14,46,-112,-32
57,159,15,45,-102,-30
52,158,15,45,-106,-30
49,160,14,46,-111,-32
50,160,14,46,-110,-32
51,154,15,45,-103,-30
46,161,13,47,-115,-34
49,163,13,47,-114,-34
48,169,12,48,-121,-36
45,170,12,48,-125,-36
45,169,12,48,-124,-36
47,170,12,48,-123,-36
44,166,12,48,-122,-36
39,170,11,49,-131,-38
41,176,10,50,-135,-40
44,178,10,50,-134,-40
43,177,10,50,-134,-40
41,172,11,49,-131,-38
39,167,11,49,-128,-38
41,166,12,48,-125,-36
41,169,11,49,-128,-38
50,163,14,46,-113,-32
49,169,12,48,-120,-36
58,179,12,48,-121,-36
58,183,12,48,-125,-36
57,173,13,47,-116,-34
56,164,14,46,-108,-32
56,169,14,46,-113,-32
60,164,15,45,-104,-30
49,169,12,48,-120,-36
55,171,13,47,-116,-34
51,161,14,46,-110,-32
46,170,12,48,-124,-36
46,172,12,48,-126,-36
43,170,11,49,-127,-38
38,173,10,50,-135,-40
34,167,11,49,-133,-38
35,166,11,49,-131,-38
37,164,11,49,-127,-38
35,164,11,49,-129,-38
36,154,13,47,-118,-34
33,159,12,48,-126,-36
39,157,13,47,-118,-34
41,155,13,47,-114,-34
40,157,13,47,-117,-34
39,155,13,47,-116,-34
40,153,14,46,-113,-32
41,156,13,47,-115,-34
44,152,14,46,-108,-32
46,144,16,44,-98,-28
49,132,18,42,-83,-24
52,135,18,42,-83,-24
57,119,21,39,-62,-18
54,117,21,39,-63,-18
59,102,24,36,-43,-12
54,112,22,38,-58,-16
53,109,22,38,-56,-16
56,120,21,39,-64,-18
59,101,24,36,-42,-12
54,103,23,37,-49,-14
60,109,23,37,-49,-14
58,105,23,37,-47,-14
56,106,23,37,-50,-14
56,100,24,36,-44,-12
55,103,23,37,-48,-14
51,89,25,35,-38,-10
54,81,26,34,-27,-8
56,73,28,32,-17,-4
55,68,29,31,-13,-2
52,62,29,31,-10,-2
50,56,30,30,-6,0
45,49,30,30,-4,0
40,42,30,30,-2,0
38,42,30,30,-4,0
37,29,31,29,8,2
46,33,31,29,13,2
39,25,32,28,14,4
46,35,31,29,11,2
56,32,33,27,24,6
51,28,33,27,23,6
56,18,35,25,38,10
58,19,35,25,39,10
52,22,34,26,30,8
52,22,34,26,30,8
47,23,33,27,24,6
46,16,34,26,30,8
50,20,34,26,30,8
56,26,34,26,30,8
60,32,34,26,28,8
63,26,35,25,37,10
61,40,33,27,21,6
62,40,33,27,22,6
63,38,33,27,25,6
61,50,31,29,11,2
63,56,31,29,7,2
59,77,28,32,-18,-4
56,86,26,34,-30,-8
53,94,24,36,-41,-12
52,101,23,37,-49,-14
45,108,21,39,-63,-18
40,102,21,39,-62,-18
33,110,19,41,-77,-22
25,111,18,42,-86,-24
20,103,18,42,-83,-24
29,95,21,39,-66,-18
38,86,23,37,-48,-14
37,77,24,36,-40,-12
46,67,27,33,-21,-6
39,76,25,35,-37,-10
45,73,26,34,-28,-8
52,53,30,30,-1,0
54,47,31,29,7,2
67,50,32,28,17,4
72,42,34,26,30,8
68,36,34,26,32,8
72,35,35,25,37,10
76,41,35,25,35,10
76,37,35,25,39,10
78,33,36,24,45,12
75,34,36,24,41,12
73,33,36,24,40,12
74,32,36,24,42,12
74,24,37,23,50,14
72,24,37,23,48,14
73,24,37,23,49,14
80,42,35,25,38,10
79,27,37,23,52,14
75,33,36,24,42,12
78,39,35,25,39,10
87,46,36,24,41,12
86,30,38,22,56,16
84,38,36,24,46,12
84,47,35,25,37,10
83,34,37,23,49,14
80,27,37,23,53,14
85,26,38,22,59,16
